start_station;end_station;start_date;minutes
de Bellechasse / de St-Vallier;26e avenue / Beaubien;11/06/2021 16:53:30;104
Laurier / de Bordeaux;de Bordeaux / Masson;27/08/2022 03:19:41;103
St-Cyril / Wiseman;Métro Laurier (Rivard / Laurier);29/07/2021 17:05:36;103
des Érables / Bélanger;Rachel / de Brébeuf;05/08/2022 11:52:49;103
Berlioz / de l'Île des Soeurs;Elgar / de l'Île-des-Sœurs;05/09/2022 13:05:20;102
Hôpital Santa Cabrini (St-Zotique / Jeanne-Jugan);Langelier / Marie-Victorin;05/09/2022 13:56:07;102
St-Christophe / Cherrier;de l'Église / de Verdun;14/05/2021 13:43:08;102
de Côme / Jean-Talon;Hickson / Wellington;07/05/2022 14:32:02;102
Mozart / Casgrain;de la Commune / Place Jacques-Cartier;25/04/2022 13:41:41;101
Métro Laurier (Berri / Laurier);Ste-Catherine / Union;21/08/2022 17:34:21;101
St-Charles / Grant;Collège Édouard-Montpetit (de Gentilly / de Normandie);17/10/2021 11:59:34;101
Ste-Claire / Pierre-Tétreault;Duchesneau / de Marseille;02/05/2022 20:25:19;101
Marmier / St-Denis;Waverly / St-Viateur;16/10/2022 18:22:35;100
de Chateaubriand / Jarry;Lajeunesse / Jarry;02/07/2021 20:06:14;100
de Gaspé / Marmier;10e avenue / Masson;08/07/2022 16:25:50;100
des Érables / du Mont-Royal;Hamel / Sauvé;17/06/2021 19:50:57;100
2e avenue / Jean-Rivard;Mansfield / Ste-Catherine;16/05/2021 13:42:26;99
Cartier / Rosemont;Richmond / des Bassins;12/05/2022 17:23:01;99
Gilford / Parthenais;Marquette / Laurier;28/06/2021 17:39:31;98
Hamel / Sauvé;Mansfield / Cathcart;02/08/2021 12:55:55;98
La Ronde;Guy / Notre-Dame;02/07/2022 21:16:42;98
Legrand / Cartier;Bélanger / St-Denis;03/07/2021 10:57:19;98
Ontario / Viau;St-Charles / Thomas-Keefer;16/04/2022 14:17:13;98
Parc LaSalle (10e avenue / Victoria);St-Joseph / 34e avenue Lachine;11/10/2021 19:58:04;98
St-Marc / Sherbrooke;St-Mathieu / Sherbrooke;09/10/2021 00:33:53;98
Des Érables / Villeray;Complexe sportif Claude-Robillard;05/06/2022 13:45:49;97
Garnier / Everett;de la Commune / Place Jacques-Cartier;06/06/2021 13:11:48;97
Métro Laurier (Berri / St-Joseph);St-Dominique / Bernard;10/04/2021 14:24:11;97
Shearer / Centre;Ryde / Charlevoix;06/10/2022 12:37:21;97
St-Henri / Notre-Dame;Metcalfe / du Square-Dorchester;19/06/2021 18:25:53;97
Aréna Chaumont (Chaumont / des Ormeaux);Langelier / Marie-Victorin;07/08/2022 00:33:45;96
Bourbonnière / du Mont-Royal;Ste-Claire / Pierre-Tétreault;14/07/2022 18:59:39;96
De la Commune / King (2);Métro Bonaventure (de la Gauchetière / de la Cathédrale);14/05/2021 13:59:31;96
Guizot / St-Laurent;Métro de Castelnau (de Castelnau / St-Laurent);07/08/2022 02:10:25;96
Louis-Hébert / Bélanger;Parc Champdoré (Champdoré / de Lille);31/08/2021 14:45:48;96
de Bordeaux / St-Zotique;Hôpital Santa Cabrini (St-Zotique / Jeanne-Jugan);10/06/2022 18:52:53;96
de Maisonneuve / Aylmer (est);de la Commune / St-Sulpice;17/09/2021 13:19:58;96
Bibliothèque et Complexe aquatique Rosemont (9e avenue / Rosemont);3e avenue / Holt;23/10/2022 16:09:00;95
Michelet / Jean-Talon;de Lisieux / Jean-Talon;05/09/2022 18:10:51;95
Parc Beaubien Outremont (Stuart / St-Viateur);Dollard / Van Horne;26/08/2022 19:41:15;95
St-Christophe / René-Lévesque;des Érables / Rachel;24/06/2022 16:16:49;95
19e avenue / St-Antoine;de la Commune / St-Sulpice;20/06/2022 17:59:38;94
Louis-Hémon / Villeray;Gilford / de Brébeuf;23/07/2021 18:52:33;94
Parc du Bois-Franc (de l'Équateur / des Andes);Clark / Fleury;09/10/2021 13:08:45;94
Cégep Marie-Victorin;Bossuet / Sherbrooke;04/07/2022 10:47:59;93
Gare St-Michel / Montréal-Nord (Pie-IX / 56e);Parc Aimé-Léonard (Gouin / Ste-Gertrude);08/09/2022 19:54:20;93
Louis-Hébert / St-Zotique;Rousselot / Jarry;22/07/2021 22:26:29;93
Marquette / des Carrières;Cartier / Dandurand;15/09/2021 17:22:02;93
St-Dominique / Gounod;Marché Jean-Talon (Henri-Julien / Jean-Talon);06/07/2021 16:36:26;93
